"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm²/sr]","Stdev Radiance","Min Radiance","Max Radiance"
EMT20210208064701_001,ROI 1,Overlay,1.873e+08,2.808e+06,3.350e+06,-1.741e+04,1.391e+07
EMT20210208064701_001,ROI 2,Overlay,1.485e+08,2.216e+06,3.522e+06,-3.617e+04,2.044e+07
EMT20210208064701_002,ROI 1,Overlay,2.004e+08,3.004e+06,3.581e+06,-1.073e+04,1.475e+07
EMT20210208064701_002,ROI 2,Overlay,1.577e+08,2.352e+06,3.721e+06,-3.802e+04,2.123e+07
EMT20210208064701_003,ROI 1,Overlay,2.058e+08,3.085e+06,3.676e+06,-1.080e+04,1.544e+07
EMT20210208064701_003,ROI 2,Overlay,1.543e+08,2.302e+06,3.634e+06,-1.275e+04,2.139e+07
EMT20210208064701_004,ROI 1,Overlay,2.047e+08,3.069e+06,3.668e+06,5.081e+03,1.528e+07
EMT20210208064701_004,ROI 2,Overlay,1.436e+08,2.142e+06,3.358e+06,-4.849e+04,1.945e+07
EMT20210208064701_005,ROI 1,Overlay,2.013e+08,3.018e+06,3.591e+06,7.028e+03,1.485e+07
EMT20210208064701_005,ROI 2,Overlay,1.346e+08,2.008e+06,3.125e+06,-3.182e+04,1.813e+07
EMT20210208064701_006,ROI 1,Overlay,1.944e+08,2.914e+06,3.462e+06,-5.697e+02,1.431e+07
EMT20210208064701_006,ROI 2,Overlay,1.273e+08,1.899e+06,2.938e+06,-1.270e+04,1.726e+07
EMT20210208064701_007,ROI 1,Overlay,1.877e+08,2.814e+06,3.358e+06,-1.617e+04,1.406e+07
EMT20210208064701_007,ROI 2,Overlay,1.229e+08,1.833e+06,2.840e+06,-3.495e+04,1.680e+07
EMT20210208064701_008,ROI 1,Overlay,1.802e+08,2.702e+06,3.221e+06,-4.189e+02,1.349e+07
EMT20210208064701_008,ROI 2,Overlay,1.168e+08,1.742e+06,2.688e+06,-4.011e+04,1.534e+07
