"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm/sr]","Stdev Radiance","Min Radiance","Max Radiance"
EMT20210208064701_001,ROI 1,Overlay,1.833e+07,2.743e+05,4.993e+05,-3.509e+04,3.184e+06
EMT20210208064701_001,ROI 2,Overlay,1.462e+08,2.195e+06,2.120e+06,1.700e+04,9.177e+06
EMT20210208064701_001,ROI 3,Overlay,2.117e+08,3.168e+06,4.131e+06,-1.518e+04,1.780e+07
EMT20210208064701_002,ROI 1,Overlay,1.812e+07,2.712e+05,4.961e+05,-5.450e+04,3.294e+06
EMT20210208064701_002,ROI 2,Overlay,1.490e+08,2.238e+06,2.176e+06,-7.488e+03,9.515e+06
EMT20210208064701_002,ROI 3,Overlay,2.153e+08,3.222e+06,4.177e+06,-1.759e+04,1.706e+07
EMT20210208064701_003,ROI 1,Overlay,1.755e+07,2.627e+05,4.764e+05,-3.008e+04,3.173e+06
EMT20210208064701_003,ROI 2,Overlay,1.551e+08,2.329e+06,2.257e+06,2.460e+04,9.807e+06
EMT20210208064701_003,ROI 3,Overlay,2.129e+08,3.187e+06,4.109e+06,-1.728e+04,1.712e+07
EMT20210208064701_004,ROI 1,Overlay,1.677e+07,2.509e+05,4.612e+05,-3.424e+04,2.908e+06
EMT20210208064701_004,ROI 2,Overlay,1.515e+08,2.276e+06,2.202e+06,-3.845e+03,9.864e+06
EMT20210208064701_004,ROI 3,Overlay,2.068e+08,3.095e+06,3.969e+06,-1.762e+04,1.630e+07
EMT20210208064701_005,ROI 1,Overlay,1.586e+07,2.374e+05,4.328e+05,-3.625e+04,2.671e+06
EMT20210208064701_005,ROI 2,Overlay,1.505e+08,2.260e+06,2.185e+06,1.599e+04,9.723e+06
EMT20210208064701_005,ROI 3,Overlay,1.993e+08,2.983e+06,3.807e+06,-4.878e+03,1.570e+07
EMT20210208064701_006,ROI 1,Overlay,1.546e+07,2.313e+05,4.192e+05,-3.243e+04,2.604e+06
EMT20210208064701_006,ROI 2,Overlay,1.443e+08,2.167e+06,2.081e+06,2.907e+03,8.974e+06
EMT20210208064701_006,ROI 3,Overlay,1.915e+08,2.866e+06,3.643e+06,3.235e+03,1.494e+07
EMT20210208064701_007,ROI 1,Overlay,1.410e+07,2.111e+05,3.833e+05,-3.162e+04,2.523e+06
EMT20210208064701_007,ROI 2,Overlay,1.412e+08,2.121e+06,2.043e+06,1.485e+04,9.046e+06
EMT20210208064701_007,ROI 3,Overlay,1.819e+08,2.723e+06,3.456e+06,-6.579e+03,1.428e+07
EMT20210208064701_008,ROI 1,Overlay,1.357e+07,2.031e+05,3.692e+05,-2.544e+04,2.419e+06
EMT20210208064701_008,ROI 2,Overlay,1.371e+08,2.058e+06,1.984e+06,1.682e+04,8.697e+06
EMT20210208064701_008,ROI 3,Overlay,1.717e+08,2.571e+06,3.258e+06,-4.246e+03,1.341e+07
