"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm²/sr]","Stdev Radiance","Min Radiance","Max Radiance"
SOK20190215105630_001,ROI 1,Overlay,5.580e+09,8.360e+07,1.951e+08,-3.608e+06,1.295e+09
SOK20190215105630_001,ROI 2,Overlay,6.417e+10,9.619e+08,1.936e+09,-1.322e+06,9.893e+09
SOK20190215105630_001,ROI 3,Overlay,6.896e+10,1.033e+09,1.890e+09,4.157e+06,9.111e+09
SOK20190215105630_001,ROI 4,Overlay,8.187e+10,1.228e+09,1.990e+09,6.029e+06,8.956e+09
SOK20190215105630_001,ROI 5,Overlay,8.585e+10,1.287e+09,2.272e+09,8.605e+06,1.009e+10
SOK20190215105630_002,ROI 1,Overlay,7.440e+09,1.115e+08,2.670e+08,-3.667e+06,1.808e+09
SOK20190215105630_002,ROI 2,Overlay,6.508e+10,9.756e+08,1.973e+09,-9.140e+02,1.007e+10
SOK20190215105630_002,ROI 3,Overlay,6.501e+10,9.743e+08,1.777e+09,3.619e+06,8.590e+09
SOK20190215105630_002,ROI 4,Overlay,7.878e+10,1.181e+09,1.913e+09,6.416e+06,8.571e+09
SOK20190215105630_002,ROI 5,Overlay,8.376e+10,1.256e+09,2.222e+09,9.092e+06,9.804e+09
SOK20190215105630_003,ROI 1,Overlay,1.122e+10,1.682e+08,4.143e+08,-3.558e+06,2.794e+09
SOK20190215105630_003,ROI 2,Overlay,6.149e+10,9.218e+08,1.862e+09,-7.561e+05,9.512e+09
SOK20190215105630_003,ROI 3,Overlay,6.179e+10,9.260e+08,1.687e+09,2.695e+06,8.123e+09
SOK20190215105630_003,ROI 4,Overlay,7.449e+10,1.117e+09,1.808e+09,4.479e+06,8.144e+09
SOK20190215105630_003,ROI 5,Overlay,8.010e+10,1.201e+09,2.121e+09,6.073e+06,9.320e+09
SOK20190215105630_004,ROI 1,Overlay,1.592e+10,2.385e+08,5.936e+08,-2.755e+06,4.009e+09
SOK20190215105630_004,ROI 2,Overlay,5.691e+10,8.531e+08,1.725e+09,-2.344e+05,8.667e+09
SOK20190215105630_004,ROI 3,Overlay,5.943e+10,8.907e+08,1.624e+09,3.201e+06,7.792e+09
SOK20190215105630_004,ROI 4,Overlay,7.245e+10,1.086e+09,1.758e+09,5.762e+06,7.934e+09
SOK20190215105630_004,ROI 5,Overlay,7.670e+10,1.150e+09,2.030e+09,7.104e+06,8.930e+09
SOK20190215105630_005,ROI 1,Overlay,2.123e+10,3.181e+08,7.925e+08,-3.655e+06,5.371e+09
SOK20190215105630_005,ROI 2,Overlay,5.430e+10,8.139e+08,1.644e+09,-1.832e+06,8.245e+09
SOK20190215105630_005,ROI 3,Overlay,5.533e+10,8.291e+08,1.515e+09,2.307e+06,7.280e+09
SOK20190215105630_005,ROI 4,Overlay,7.106e+10,1.066e+09,1.730e+09,6.165e+06,7.789e+09
SOK20190215105630_005,ROI 5,Overlay,7.228e+10,1.083e+09,1.912e+09,4.776e+06,8.387e+09
SOK20190215105630_006,ROI 1,Overlay,2.648e+10,3.967e+08,9.816e+08,-3.809e+06,6.625e+09
SOK20190215105630_006,ROI 2,Overlay,5.389e+10,8.078e+08,1.628e+09,-2.173e+06,8.116e+09
SOK20190215105630_006,ROI 3,Overlay,5.497e+10,8.237e+08,1.504e+09,2.264e+06,7.178e+09
SOK20190215105630_006,ROI 4,Overlay,6.733e+10,1.010e+09,1.633e+09,5.074e+06,7.323e+09
SOK20190215105630_006,ROI 5,Overlay,7.206e+10,1.080e+09,1.911e+09,5.804e+06,8.373e+09
SOK20190215105630_007,ROI 1,Overlay,3.131e+10,4.690e+08,1.149e+09,-4.751e+06,7.713e+09
SOK20190215105630_007,ROI 2,Overlay,5.262e+10,7.888e+08,1.582e+09,-1.697e+06,7.929e+09
SOK20190215105630_007,ROI 3,Overlay,5.633e+10,8.441e+08,1.546e+09,1.373e+06,7.491e+09
SOK20190215105630_007,ROI 4,Overlay,6.627e+10,9.938e+08,1.603e+09,5.989e+06,7.098e+09
SOK20190215105630_007,ROI 5,Overlay,7.016e+10,1.052e+09,1.852e+09,4.498e+06,8.055e+09
SOK20190215105630_008,ROI 1,Overlay,3.561e+10,5.335e+08,1.298e+09,-3.322e+06,8.708e+09
SOK20190215105630_008,ROI 2,Overlay,5.130e+10,7.689e+08,1.543e+09,-1.960e+06,7.631e+09
SOK20190215105630_008,ROI 3,Overlay,5.303e+10,7.947e+08,1.450e+09,2.912e+06,7.095e+09
SOK20190215105630_008,ROI 4,Overlay,6.417e+10,9.623e+08,1.550e+09,5.053e+06,6.856e+09
SOK20190215105630_008,ROI 5,Overlay,6.278e+10,9.411e+08,1.637e+09,6.301e+06,6.955e+09
SOK20190215105630_009,ROI 1,Overlay,4.006e+10,6.001e+08,1.441e+09,-3.175e+06,9.533e+09
SOK20190215105630_009,ROI 2,Overlay,5.091e+10,7.632e+08,1.531e+09,-3.194e+06,7.631e+09
SOK20190215105630_009,ROI 3,Overlay,5.732e+10,8.589e+08,1.576e+09,2.309e+06,7.621e+09
SOK20190215105630_009,ROI 4,Overlay,6.276e+10,9.411e+08,1.513e+09,6.330e+06,6.622e+09
SOK20190215105630_009,ROI 5,Overlay,6.358e+10,9.530e+08,1.663e+09,4.042e+06,7.147e+09
SOK20190215105630_010,ROI 1,Overlay,4.287e+10,6.422e+08,1.522e+09,-3.123e+06,1.006e+10
SOK20190215105630_010,ROI 2,Overlay,4.987e+10,7.476e+08,1.495e+09,-1.841e+06,7.349e+09
SOK20190215105630_010,ROI 3,Overlay,6.500e+10,9.740e+08,1.799e+09,2.213e+06,8.843e+09
SOK20190215105630_010,ROI 4,Overlay,6.027e+10,9.038e+08,1.449e+09,5.609e+06,6.313e+09
SOK20190215105630_010,ROI 5,Overlay,6.553e+10,9.823e+08,1.726e+09,5.532e+06,7.546e+09
SOK20190215105630_011,ROI 1,Overlay,4.613e+10,6.911e+08,1.610e+09,-4.472e+06,1.051e+10
SOK20190215105630_011,ROI 2,Overlay,4.546e+10,6.814e+08,1.355e+09,-1.565e+06,6.514e+09
