Image Number,ROI,Image Layer,Total Flux [p/s],Avg Radiance [p/s/cm/sr],Stdev Radiance,Min Radiance,Max Radiance
SOK20190215112006_001,ROI 1,Overlay,8.10E+08,8.17E+06,1.59E+07,-1.35E+06,8.17E+07
SOK20190215112006_002,ROI 1,Overlay,2.08E+09,2.10E+07,4.03E+07,-6.62E+05,1.94E+08
SOK20190215112006_003,ROI 1,Overlay,1.64E+10,1.66E+08,3.35E+08,2.68E+05,1.75E+09
SOK20190215112006_004,ROI 1,Overlay,3.46E+10,3.49E+08,7.19E+08,2.51E+06,3.70E+09
SOK20190215112006_005,ROI 1,Overlay,5.05E+10,5.09E+08,1.05E+09,3.17E+06,5.40E+09
SOK20190215112006_006,ROI 1,Overlay,6.24E+10,6.29E+08,1.31E+09,4.75E+06,6.69E+09
SOK20190215112006_007,ROI 1,Overlay,6.91E+10,7.02E+08,1.47E+09,2.34E+06,7.78E+09
SOK20190215112006_008,ROI 1,Overlay,7.57E+10,7.70E+08,1.61E+09,2.55E+06,8.57E+09
SOK20190215112006_009,ROI 1,Overlay,8.28E+10,8.42E+08,1.76E+09,3.00E+06,9.29E+09
SOK20190215112006_010,ROI 1,Overlay,8.58E+10,8.73E+08,1.83E+09,3.67E+06,9.70E+09
SOK20190215112006_001,ROI 2,Overlay,5.49E+09,5.59E+07,1.04E+08,-5.79E+05,6.25E+08
SOK20190215112006_002,ROI 2,Overlay,5.68E+09,5.78E+07,1.09E+08,-1.71E+05,6.94E+08
SOK20190215112006_003,ROI 2,Overlay,1.04E+10,1.06E+08,2.00E+08,7.82E+04,1.19E+09
SOK20190215112006_004,ROI 2,Overlay,1.53E+10,1.56E+08,2.94E+08,9.71E+05,1.57E+09
SOK20190215112006_005,ROI 2,Overlay,6.67E+10,6.79E+08,1.33E+09,5.64E+06,6.94E+09
SOK20190215112006_006,ROI 2,Overlay,7.66E+10,7.80E+08,1.49E+09,6.73E+06,7.29E+09
SOK20190215112006_007,ROI 2,Overlay,6.92E+10,7.03E+08,1.35E+09,1.69E+06,6.76E+09
SOK20190215112006_008,ROI 2,Overlay,6.83E+10,6.95E+08,1.33E+09,2.77E+06,6.72E+09
SOK20190215112006_009,ROI 2,Overlay,6.88E+10,6.99E+08,1.34E+09,-3.83E+05,6.84E+09
SOK20190215112006_010,ROI 2,Overlay,7.07E+10,7.19E+08,1.39E+09,2.15E+06,7.12E+09
SOK20190215112006_001,ROI 3,Overlay,3.16E+10,3.22E+08,7.36E+08,1.53E+06,4.41E+09
SOK20190215112006_002,ROI 3,Overlay,3.48E+10,3.55E+08,8.05E+08,1.36E+06,4.69E+09
SOK20190215112006_003,ROI 3,Overlay,3.72E+10,3.79E+08,8.56E+08,2.19E+06,4.94E+09
SOK20190215112006_004,ROI 3,Overlay,4.01E+10,4.09E+08,9.22E+08,2.27E+06,5.17E+09
SOK20190215112006_005,ROI 3,Overlay,4.52E+10,4.61E+08,1.02E+09,3.41E+06,5.44E+09
SOK20190215112006_006,ROI 3,Overlay,4.26E+10,4.34E+08,9.69E+08,2.34E+06,5.37E+09
SOK20190215112006_007,ROI 3,Overlay,4.06E+10,4.14E+08,9.36E+08,1.97E+05,5.17E+09
SOK20190215112006_008,ROI 3,Overlay,4.47E+10,4.55E+08,1.01E+09,8.54E+05,5.30E+09
SOK20190215112006_009,ROI 3,Overlay,4.19E+10,4.27E+08,9.55E+08,7.86E+04,5.15E+09
SOK20190215112006_010,ROI 3,Overlay,4.39E+10,4.47E+08,9.91E+08,1.04E+06,5.18E+09
SOK20190215112006_001,ROI 4,Overlay,2.07E+10,2.11E+08,3.96E+08,8.91E+05,1.86E+09
SOK20190215112006_002,ROI 4,Overlay,4.67E+10,4.76E+08,8.67E+08,2.40E+06,3.99E+09
SOK20190215112006_003,ROI 4,Overlay,5.95E+10,6.06E+08,1.12E+09,3.74E+06,5.27E+09
SOK20190215112006_004,ROI 4,Overlay,7.21E+10,7.35E+08,1.37E+09,3.19E+06,6.35E+09
SOK20190215112006_005,ROI 4,Overlay,8.20E+10,8.36E+08,1.57E+09,4.60E+06,7.23E+09
SOK20190215112006_006,ROI 4,Overlay,8.75E+10,8.91E+08,1.67E+09,4.25E+06,7.74E+09
SOK20190215112006_007,ROI 4,Overlay,9.42E+10,9.56E+08,1.83E+09,8.80E+05,8.80E+09
SOK20190215112006_008,ROI 4,Overlay,9.74E+10,9.89E+08,1.89E+09,4.37E+05,8.92E+09
SOK20190215112006_009,ROI 4,Overlay,9.90E+10,1.01E+09,1.93E+09,1.59E+06,9.22E+09
SOK20190215112006_010,ROI 4,Overlay,9.98E+10,1.01E+09,1.95E+09,1.94E+06,9.44E+09
