"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm/sr]","Stdev Radiance","Min Radiance","Max Radiance"
SOK20190215112006_001,ROI 1,Overlay,8.097e+08,8.171e+06,1.588e+07,-1.354e+06,8.174e+07
SOK20190215112006_001,ROI 2,Overlay,5.493e+09,5.591e+07,1.039e+08,-5.787e+05,6.247e+08
SOK20190215112006_001,ROI 3,Overlay,3.159e+10,3.219e+08,7.359e+08,1.530e+06,4.408e+09
SOK20190215112006_001,ROI 4,Overlay,2.072e+10,2.111e+08,3.963e+08,8.905e+05,1.862e+09
SOK20190215112006_002,ROI 1,Overlay,2.080e+09,2.099e+07,4.033e+07,-6.622e+05,1.937e+08
SOK20190215112006_002,ROI 2,Overlay,5.681e+09,5.783e+07,1.087e+08,-1.713e+05,6.940e+08
SOK20190215112006_002,ROI 3,Overlay,3.479e+10,3.545e+08,8.046e+08,1.355e+06,4.688e+09
SOK20190215112006_002,ROI 4,Overlay,4.674e+10,4.762e+08,8.671e+08,2.401e+06,3.994e+09
SOK20190215112006_003,ROI 1,Overlay,1.642e+10,1.657e+08,3.350e+08,2.680e+05,1.751e+09
SOK20190215112006_003,ROI 2,Overlay,1.037e+10,1.056e+08,1.996e+08,7.824e+04,1.194e+09
SOK20190215112006_003,ROI 3,Overlay,3.718e+10,3.789e+08,8.556e+08,2.193e+06,4.936e+09
SOK20190215112006_003,ROI 4,Overlay,5.950e+10,6.063e+08,1.124e+09,3.743e+06,5.274e+09
SOK20190215112006_004,ROI 1,Overlay,3.459e+10,3.491e+08,7.189e+08,2.509e+06,3.701e+09
SOK20190215112006_004,ROI 2,Overlay,1.528e+10,1.556e+08,2.937e+08,9.714e+05,1.574e+09
SOK20190215112006_004,ROI 3,Overlay,4.014e+10,4.091e+08,9.217e+08,2.267e+06,5.168e+09
SOK20190215112006_004,ROI 4,Overlay,7.212e+10,7.349e+08,1.372e+09,3.194e+06,6.347e+09
SOK20190215112006_005,ROI 1,Overlay,5.045e+10,5.092e+08,1.052e+09,3.169e+06,5.402e+09
SOK20190215112006_005,ROI 2,Overlay,6.673e+10,6.792e+08,1.332e+09,5.641e+06,6.941e+09
SOK20190215112006_005,ROI 3,Overlay,4.520e+10,4.605e+08,1.022e+09,3.406e+06,5.443e+09
SOK20190215112006_005,ROI 4,Overlay,8.200e+10,8.356e+08,1.565e+09,4.602e+06,7.229e+09
SOK20190215112006_006,ROI 1,Overlay,6.237e+10,6.294e+08,1.305e+09,4.751e+06,6.688e+09
SOK20190215112006_006,ROI 2,Overlay,7.658e+10,7.795e+08,1.485e+09,6.727e+06,7.294e+09
SOK20190215112006_006,ROI 3,Overlay,4.256e+10,4.337e+08,9.691e+08,2.343e+06,5.374e+09
SOK20190215112006_006,ROI 4,Overlay,8.747e+10,8.914e+08,1.672e+09,4.245e+06,7.736e+09
SOK20190215112006_007,ROI 1,Overlay,6.907e+10,7.023e+08,1.474e+09,2.341e+06,7.778e+09
SOK20190215112006_007,ROI 2,Overlay,6.918e+10,7.032e+08,1.350e+09,1.687e+06,6.762e+09
SOK20190215112006_007,ROI 3,Overlay,4.062e+10,4.136e+08,9.355e+08,1.968e+05,5.168e+09
SOK20190215112006_007,ROI 4,Overlay,9.420e+10,9.560e+08,1.830e+09,8.804e+05,8.803e+09
SOK20190215112006_008,ROI 1,Overlay,7.571e+10,7.698e+08,1.608e+09,2.552e+06,8.567e+09
SOK20190215112006_008,ROI 2,Overlay,6.834e+10,6.947e+08,1.331e+09,2.771e+06,6.723e+09
SOK20190215112006_008,ROI 3,Overlay,4.470e+10,4.552e+08,1.009e+09,8.544e+05,5.298e+09
SOK20190215112006_008,ROI 4,Overlay,9.741e+10,9.886e+08,1.892e+09,4.371e+05,8.916e+09
SOK20190215112006_009,ROI 1,Overlay,8.280e+10,8.418e+08,1.759e+09,2.997e+06,9.291e+09
SOK20190215112006_009,ROI 2,Overlay,6.878e+10,6.991e+08,1.343e+09,-3.832e+05,6.840e+09
SOK20190215112006_009,ROI 3,Overlay,4.192e+10,4.268e+08,9.552e+08,7.862e+04,5.148e+09
SOK20190215112006_009,ROI 4,Overlay,9.900e+10,1.005e+09,1.927e+09,1.591e+06,9.218e+09
SOK20190215112006_010,ROI 1,Overlay,8.584e+10,8.728e+08,1.834e+09,3.667e+06,9.699e+09
SOK20190215112006_010,ROI 2,Overlay,7.073e+10,7.190e+08,1.389e+09,2.147e+06,7.122e+09
SOK20190215112006_010,ROI 3,Overlay,4.393e+10,4.473e+08,9.909e+08,1.037e+06,5.182e+09
SOK20190215112006_010,ROI 4,Overlay,9.975e+10,1.012e+09,1.948e+09,1.937e+06,9.437e+09
SOK20190215112006_011,ROI 1,Overlay,8.931e+10,9.081e+08,1.904e+09,3.023e+06,1.016e+10
SOK20190215112006_011,ROI 2,Overlay,6.970e+10,7.085e+08,1.373e+09,2.841e+06,7.077e+09
SOK20190215112006_011,ROI 3,Overlay,4.217e+10,4.293e+08,9.546e+08,-1.367e+06,5.003e+09
SOK20190215112006_011,ROI 4,Overlay,9.165e+10,9.301e+08,1.779e+09,-3.733e+05,8.294e+09
SOK20190215112006_012,ROI 1,Overlay,8.965e+10,9.116e+08,1.931e+09,4.051e+06,1.032e+10
SOK20190215112006_012,ROI 2,Overlay,6.723e+10,6.834e+08,1.324e+09,2.761e+06,6.802e+09
SOK20190215112006_012,ROI 3,Overlay,4.508e+10,4.590e+08,1.022e+09,8.126e+04,5.268e+09
SOK20190215112006_012,ROI 4,Overlay,9.228e+10,9.366e+08,1.798e+09,8.762e+04,8.624e+09
SOK20190215112006_013,ROI 1,Overlay,9.385e+10,9.542e+08,2.008e+09,2.774e+06,1.072e+10
SOK20190215112006_013,ROI 2,Overlay,6.562e+10,6.670e+08,1.292e+09,3.629e+06,6.645e+09
SOK20190215112006_013,ROI 3,Overlay,5.223e+10,5.318e+08,1.181e+09,1.037e+06,6.334e+09
SOK20190215112006_013,ROI 4,Overlay,9.404e+10,9.544e+08,1.843e+09,-4.148e+05,9.017e+09
SOK20190215112006_014,ROI 1,Overlay,9.280e+10,9.436e+08,1.985e+09,2.374e+06,1.053e+10
SOK20190215112006_014,ROI 2,Overlay,6.128e+10,6.230e+08,1.206e+09,2.085e+06,6.203e+09
SOK20190215112006_014,ROI 3,Overlay,5.312e+10,5.408e+08,1.199e+09,5.803e+05,6.493e+09
SOK20190215112006_014,ROI 4,Overlay,8.872e+10,9.004e+08,1.737e+09,-5.569e+04,8.490e+09
SOK20190215112006_015,ROI 1,Overlay,9.112e+10,9.264e+08,1.955e+09,3.169e+06,1.040e+10
SOK20190215112006_015,ROI 2,Overlay,5.875e+10,5.972e+08,1.159e+09,1.558e+06,6.021e+09
SOK20190215112006_015,ROI 3,Overlay,4.889e+10,4.978e+08,1.096e+09,1.493e+05,5.797e+09
SOK20190215112006_015,ROI 4,Overlay,8.043e+10,8.162e+08,1.564e+09,-5.354e+04,7.435e+09
