"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm²/sr]","Stdev Radiance","Min Radiance","Max Radiance"
SOK20190215114743_001,ROI 1,Overlay,4.030e+09,4.101e+07,8.625e+07,-5.635e+06,4.354e+08
SOK20190215114743_001,ROI 2,Overlay,4.522e+10,4.602e+08,1.040e+09,-2.859e+05,6.174e+09
SOK20190215114743_001,ROI 3,Overlay,9.831e+10,1.000e+09,2.048e+09,5.040e+06,1.023e+10
SOK20190215114743_001,ROI 4,Overlay,4.798e+10,4.872e+08,1.089e+09,-2.470e+06,5.696e+09
SOK20190215114743_002,ROI 1,Overlay,4.402e+09,4.479e+07,9.406e+07,-4.765e+06,4.742e+08
SOK20190215114743_002,ROI 2,Overlay,4.350e+10,4.427e+08,9.959e+08,2.019e+05,5.883e+09
SOK20190215114743_002,ROI 3,Overlay,9.701e+10,9.872e+08,2.020e+09,3.937e+06,1.011e+10
SOK20190215114743_002,ROI 4,Overlay,4.802e+10,4.876e+08,1.084e+09,-1.672e+06,5.688e+09
SOK20190215114743_003,ROI 1,Overlay,4.145e+09,4.218e+07,8.813e+07,-4.077e+06,4.471e+08
SOK20190215114743_003,ROI 2,Overlay,4.242e+10,4.316e+08,9.660e+08,-1.648e+06,5.806e+09
SOK20190215114743_003,ROI 3,Overlay,9.192e+10,9.354e+08,1.907e+09,4.057e+06,9.527e+09
SOK20190215114743_003,ROI 4,Overlay,4.866e+10,4.941e+08,1.096e+09,-1.239e+06,5.707e+09
SOK20190215114743_004,ROI 1,Overlay,4.730e+09,4.813e+07,1.022e+08,-6.101e+06,5.389e+08
SOK20190215114743_004,ROI 2,Overlay,4.418e+10,4.495e+08,1.008e+09,-6.167e+05,5.993e+09
SOK20190215114743_004,ROI 3,Overlay,9.044e+10,9.203e+08,1.875e+09,5.186e+06,9.393e+09
SOK20190215114743_004,ROI 4,Overlay,4.715e+10,4.787e+08,1.058e+09,-7.508e+05,5.527e+09
SOK20190215114743_005,ROI 1,Overlay,5.174e+09,5.265e+07,1.123e+08,-4.242e+06,5.878e+08
SOK20190215114743_005,ROI 2,Overlay,4.314e+10,4.389e+08,9.860e+08,1.282e+06,5.761e+09
SOK20190215114743_005,ROI 3,Overlay,8.475e+10,8.625e+08,1.751e+09,1.737e+06,8.715e+09
SOK20190215114743_005,ROI 4,Overlay,4.761e+10,4.834e+08,1.065e+09,-2.866e+06,5.516e+09
SOK20190215114743_006,ROI 1,Overlay,5.490e+09,5.587e+07,1.196e+08,-6.045e+06,6.301e+08
SOK20190215114743_006,ROI 2,Overlay,4.356e+10,4.433e+08,9.937e+08,1.293e+06,5.951e+09
SOK20190215114743_006,ROI 3,Overlay,8.452e+10,8.600e+08,1.746e+09,4.147e+06,8.698e+09
SOK20190215114743_006,ROI 4,Overlay,4.837e+10,4.912e+08,1.083e+09,-1.547e+06,5.642e+09
SOK20190215114743_007,ROI 1,Overlay,5.933e+09,6.037e+07,1.293e+08,-3.892e+06,6.910e+08
SOK20190215114743_007,ROI 2,Overlay,4.267e+10,4.342e+08,9.734e+08,1.501e+06,5.807e+09
SOK20190215114743_007,ROI 3,Overlay,8.095e+10,8.237e+08,1.681e+09,4.327e+06,8.411e+09
SOK20190215114743_007,ROI 4,Overlay,4.690e+10,4.763e+08,1.045e+09,-1.597e+06,5.371e+09
SOK20190215114743_008,ROI 1,Overlay,6.179e+09,6.287e+07,1.348e+08,-4.705e+06,7.153e+08
SOK20190215114743_008,ROI 2,Overlay,4.247e+10,4.321e+08,9.686e+08,7.078e+05,5.770e+09
SOK20190215114743_008,ROI 3,Overlay,7.740e+10,7.876e+08,1.612e+09,2.284e+06,8.120e+09
SOK20190215114743_008,ROI 4,Overlay,4.810e+10,4.885e+08,1.072e+09,-2.353e+06,5.519e+09
SOK20190215114743_009,ROI 1,Overlay,6.476e+09,6.590e+07,1.422e+08,-4.906e+06,7.691e+08
SOK20190215114743_009,ROI 2,Overlay,4.204e+10,4.278e+08,9.596e+08,1.080e+05,5.753e+09
SOK20190215114743_009,ROI 3,Overlay,7.565e+10,7.698e+08,1.577e+09,3.253e+06,7.995e+09
SOK20190215114743_009,ROI 4,Overlay,4.518e+10,4.587e+08,1.005e+09,-1.605e+06,5.140e+09
SOK20190215114743_010,ROI 1,Overlay,6.640e+09,6.757e+07,1.458e+08,-5.798e+06,7.716e+08
SOK20190215114743_010,ROI 2,Overlay,3.984e+10,4.055e+08,9.074e+08,-6.812e+05,5.485e+09
SOK20190215114743_010,ROI 3,Overlay,7.217e+10,7.345e+08,1.506e+09,1.368e+06,7.672e+09
SOK20190215114743_010,ROI 4,Overlay,4.656e+10,4.728e+08,1.038e+09,-1.581e+06,5.399e+09
SOK20190215114743_011,ROI 1,Overlay,7.350e+09,7.473e+07,1.589e+08,5.031e+05,7.972e+08
SOK20190215114743_011,ROI 2,Overlay,4.099e+10,4.164e+08,9.267e+08,3.990e+06,5.374e+09
SOK20190215114743_011,ROI 3,Overlay,7.136e+10,7.264e+08,1.482e+09,5.375e+06,7.351e+09
SOK20190215114743_011,ROI 4,Overlay,4.573e+10,4.654e+08,1.008e+09,1.908e+06,5.039e+09
SOK20190215114743_012,ROI 1,Overlay,7.509e+09,7.634e+07,1.619e+08,3.444e+05,8.024e+08
SOK20190215114743_012,ROI 2,Overlay,3.854e+10,3.915e+08,8.731e+08,3.442e+06,5.066e+09
SOK20190215114743_012,ROI 3,Overlay,6.749e+10,6.870e+08,1.399e+09,5.488e+06,6.962e+09
SOK20190215114743_012,ROI 4,Overlay,4.180e+10,4.255e+08,9.197e+08,1.423e+06,4.561e+09
SOK20190215114743_013,ROI 1,Overlay,1.164e+10,1.185e+08,2.571e+08,-2.627e+06,1.351e+09
SOK20190215114743_013,ROI 2,Overlay,4.493e+10,4.572e+08,1.033e+09,9.399e+05,6.054e+09
SOK20190215114743_013,ROI 3,Overlay,8.787e+10,8.942e+08,1.876e+09,3.634e+06,9.980e+09
SOK20190215114743_013,ROI 4,Overlay,5.451e+10,5.535e+08,1.216e+09,-1.193e+06,6.443e+09
SOK20190215114743_014,ROI 1,Overlay,1.251e+10,1.273e+08,2.741e+08,-3.884e+06,1.381e+09
SOK20190215114743_014,ROI 2,Overlay,4.582e+10,4.663e+08,1.051e+09,1.165e+06,6.102e+09
SOK20190215114743_014,ROI 3,Overlay,8.908e+10,9.065e+08,1.907e+09,4.620e+06,1.005e+10
SOK20190215114743_014,ROI 4,Overlay,4.972e+10,5.049e+08,1.100e+09,-1.555e+06,5.766e+09
SOK20190215114743_015,ROI 1,Overlay,1.292e+10,1.314e+08,2.810e+08,-2.659e+06,1.407e+09
SOK20190215114743_015,ROI 2,Overlay,4.118e+10,4.190e+08,9.401e+08,1.330e+06,5.432e+09
SOK20190215114743_015,ROI 3,Overlay,8.549e+10,8.699e+08,1.830e+09,4.456e+06,9.650e+09
SOK20190215114743_015,ROI 4,Overlay,5.135e+10,5.214e+08,1.134e+09,-8.189e+05,5.999e+09
SOK20190215114743_016,ROI 1,Overlay,1.295e+10,1.317e+08,2.811e+08,-1.998e+06,1.406e+09
SOK20190215114743_016,ROI 2,Overlay,4.147e+10,4.220e+08,9.503e+08,8.685e+05,5.457e+09
SOK20190215114743_016,ROI 3,Overlay,8.597e+10,8.748e+08,1.857e+09,4.700e+06,9.850e+09
SOK20190215114743_016,ROI 4,Overlay,4.840e+10,4.914e+08,1.064e+09,-1.652e+06,5.523e+09
