"Image Number","ROI","Image Layer","Total Flux [p/s]","Avg Radiance [p/s/cm²/sr]","Stdev Radiance","Min Radiance","Max Radiance"
SOK20190125111426_001,ROI 1,Overlay,2.367e+09,3.526e+07,9.243e+07,-2.425e+06,7.482e+08
SOK20190125111426_001,ROI 2,Overlay,6.330e+07,9.505e+05,3.016e+06,-4.345e+06,2.013e+07
SOK20190125111426_001,ROI 3,Overlay,5.970e+07,8.907e+05,2.536e+06,-3.418e+06,1.703e+07
SOK20190125111426_001,ROI 4,Overlay,5.232e+09,7.868e+07,2.147e+08,-2.167e+06,1.782e+09
SOK20190125111426_001,ROI 5,Overlay,7.667e+09,1.146e+08,3.005e+08,-7.904e+05,1.915e+09
SOK20190125111426_002,ROI 1,Overlay,2.936e+09,4.373e+07,1.096e+08,-2.595e+06,8.465e+08
SOK20190125111426_002,ROI 2,Overlay,1.536e+08,2.307e+06,7.406e+06,-3.604e+06,6.069e+07
SOK20190125111426_002,ROI 3,Overlay,1.165e+08,1.739e+06,4.857e+06,-4.678e+06,3.035e+07
SOK20190125111426_002,ROI 4,Overlay,5.786e+09,8.702e+07,2.357e+08,-1.311e+06,1.917e+09
SOK20190125111426_002,ROI 5,Overlay,7.754e+09,1.159e+08,3.058e+08,-1.295e+06,1.939e+09
SOK20190125111426_003,ROI 1,Overlay,3.832e+09,5.709e+07,1.422e+08,-6.337e+06,1.094e+09
SOK20190125111426_003,ROI 2,Overlay,4.733e+08,7.107e+06,2.102e+07,-4.057e+06,1.640e+08
SOK20190125111426_003,ROI 3,Overlay,2.941e+08,4.387e+06,1.216e+07,-5.151e+06,8.827e+07
SOK20190125111426_003,ROI 4,Overlay,6.612e+09,9.945e+07,2.729e+08,-2.247e+06,2.124e+09
SOK20190125111426_003,ROI 5,Overlay,9.950e+09,1.487e+08,3.847e+08,-1.745e+06,2.380e+09
SOK20190125111426_004,ROI 1,Overlay,4.568e+09,6.804e+07,1.611e+08,-4.637e+06,1.250e+09
SOK20190125111426_004,ROI 2,Overlay,9.086e+08,1.364e+07,4.150e+07,-5.174e+06,3.168e+08
SOK20190125111426_004,ROI 3,Overlay,5.036e+08,7.513e+06,2.119e+07,-5.127e+06,1.472e+08
SOK20190125111426_004,ROI 4,Overlay,7.072e+09,1.064e+08,2.896e+08,-2.813e+06,2.185e+09
SOK20190125111426_004,ROI 5,Overlay,1.079e+10,1.612e+08,4.152e+08,-1.741e+06,2.562e+09
SOK20190125111426_005,ROI 1,Overlay,4.932e+09,7.346e+07,1.761e+08,-3.084e+06,1.438e+09
SOK20190125111426_005,ROI 2,Overlay,1.485e+09,2.230e+07,6.762e+07,-4.891e+06,5.283e+08
SOK20190125111426_005,ROI 3,Overlay,7.409e+08,1.105e+07,3.095e+07,-4.058e+06,2.054e+08
SOK20190125111426_005,ROI 4,Overlay,7.291e+09,1.096e+08,2.974e+08,-2.724e+06,2.241e+09
SOK20190125111426_005,ROI 5,Overlay,1.229e+10,1.836e+08,4.705e+08,-1.469e+06,2.926e+09
SOK20190125111426_006,ROI 1,Overlay,5.483e+09,8.168e+07,1.928e+08,-4.003e+06,1.517e+09
SOK20190125111426_006,ROI 2,Overlay,2.067e+09,3.104e+07,9.302e+07,-3.949e+06,7.350e+08
SOK20190125111426_006,ROI 3,Overlay,9.737e+08,1.453e+07,4.189e+07,-5.053e+06,2.939e+08
SOK20190125111426_006,ROI 4,Overlay,7.515e+09,1.130e+08,3.057e+08,-2.902e+06,2.235e+09
SOK20190125111426_006,ROI 5,Overlay,1.060e+10,1.584e+08,4.153e+08,-1.895e+06,2.591e+09
SOK20190125111426_007,ROI 1,Overlay,5.978e+09,8.905e+07,2.074e+08,-4.370e+06,1.640e+09
SOK20190125111426_007,ROI 2,Overlay,2.636e+09,3.958e+07,1.209e+08,-4.795e+06,9.922e+08
SOK20190125111426_007,ROI 3,Overlay,1.266e+09,1.888e+07,5.386e+07,-4.519e+06,3.991e+08
SOK20190125111426_007,ROI 4,Overlay,7.595e+09,1.142e+08,3.076e+08,-3.043e+06,2.219e+09
SOK20190125111426_007,ROI 5,Overlay,1.321e+10,1.975e+08,5.026e+08,-6.751e+05,3.106e+09
SOK20190125111426_008,ROI 1,Overlay,6.558e+09,9.770e+07,2.205e+08,-2.804e+06,1.659e+09
SOK20190125111426_008,ROI 2,Overlay,3.135e+09,4.708e+07,1.432e+08,-4.698e+06,1.120e+09
SOK20190125111426_008,ROI 3,Overlay,1.516e+09,2.261e+07,6.376e+07,-4.290e+06,4.357e+08
SOK20190125111426_008,ROI 4,Overlay,7.620e+09,1.146e+08,3.078e+08,-3.553e+06,2.212e+09
SOK20190125111426_008,ROI 5,Overlay,1.326e+10,1.982e+08,5.074e+08,-2.736e+06,3.149e+09
SOK20190125111426_009,ROI 1,Overlay,7.816e+09,1.164e+08,2.555e+08,-1.656e+06,1.745e+09
SOK20190125111426_009,ROI 2,Overlay,3.606e+09,5.415e+07,1.613e+08,-3.283e+06,1.244e+09
SOK20190125111426_009,ROI 3,Overlay,1.777e+09,2.651e+07,7.490e+07,-5.201e+06,5.103e+08
SOK20190125111426_009,ROI 4,Overlay,7.680e+09,1.155e+08,3.103e+08,-2.142e+06,2.211e+09
SOK20190125111426_009,ROI 5,Overlay,1.250e+10,1.868e+08,4.788e+08,-3.233e+06,2.942e+09
SOK20190125111426_010,ROI 1,Overlay,9.305e+09,1.386e+08,3.034e+08,-1.376e+06,2.127e+09
SOK20190125111426_010,ROI 2,Overlay,4.174e+09,6.268e+07,1.881e+08,-4.374e+06,1.486e+09
SOK20190125111426_010,ROI 3,Overlay,2.065e+09,3.080e+07,8.663e+07,-3.788e+06,6.166e+08
SOK20190125111426_010,ROI 4,Overlay,7.568e+09,1.138e+08,3.058e+08,-2.758e+06,2.167e+09
SOK20190125111426_010,ROI 5,Overlay,1.199e+10,1.792e+08,4.598e+08,-2.708e+06,2.830e+09
SOK20190125111426_011,ROI 1,Overlay,8.023e+09,1.195e+08,2.670e+08,-2.717e+06,1.971e+09
SOK20190125111426_011,ROI 2,Overlay,4.513e+09,6.777e+07,2.015e+08,-5.359e+06,1.553e+09
SOK20190125111426_011,ROI 3,Overlay,2.281e+09,3.403e+07,9.650e+07,-4.449e+06,6.869e+08
SOK20190125111426_011,ROI 4,Overlay,7.758e+09,1.167e+08,3.125e+08,-2.715e+06,2.177e+09
SOK20190125111426_011,ROI 5,Overlay,1.245e+10,1.860e+08,4.782e+08,-1.028e+06,2.975e+09
SOK20190125111426_012,ROI 1,Overlay,8.333e+09,1.241e+08,2.714e+08,-5.134e+06,1.777e+09
SOK20190125111426_012,ROI 2,Overlay,4.859e+09,7.297e+07,2.156e+08,-4.406e+06,1.652e+09
SOK20190125111426_012,ROI 3,Overlay,2.543e+09,3.794e+07,1.065e+08,-5.012e+06,7.280e+08
SOK20190125111426_012,ROI 4,Overlay,7.519e+09,1.131e+08,3.039e+08,-2.443e+06,2.097e+09
SOK20190125111426_012,ROI 5,Overlay,1.204e+10,1.799e+08,4.626e+08,-2.419e+06,2.893e+09
SOK20190125111426_013,ROI 1,Overlay,9.332e+09,1.390e+08,3.002e+08,-3.110e+06,1.883e+09
SOK20190125111426_013,ROI 2,Overlay,5.301e+09,7.959e+07,2.372e+08,-4.245e+06,1.808e+09
SOK20190125111426_013,ROI 3,Overlay,2.723e+09,4.062e+07,1.148e+08,-5.424e+06,7.975e+08
SOK20190125111426_013,ROI 4,Overlay,7.712e+09,1.160e+08,3.121e+08,-2.858e+06,2.170e+09
SOK20190125111426_013,ROI 5,Overlay,1.279e+10,1.911e+08,4.921e+08,-2.420e+06,3.127e+09
SOK20190125111426_014,ROI 1,Overlay,1.041e+10,1.551e+08,3.375e+08,-3.046e+05,2.135e+09
SOK20190125111426_014,ROI 2,Overlay,5.599e+09,8.408e+07,2.497e+08,-2.360e+06,1.870e+09
SOK20190125111426_014,ROI 3,Overlay,2.950e+09,4.402e+07,1.245e+08,-3.790e+06,8.769e+08
SOK20190125111426_014,ROI 4,Overlay,7.355e+09,1.106e+08,2.969e+08,-3.389e+06,2.025e+09
SOK20190125111426_014,ROI 5,Overlay,1.202e+10,1.797e+08,4.605e+08,-2.161e+06,2.836e+09
SOK20190125111426_015,ROI 1,Overlay,1.018e+10,1.517e+08,3.286e+08,-3.434e+06,1.965e+09
SOK20190125111426_015,ROI 2,Overlay,5.895e+09,8.852e+07,2.599e+08,-2.858e+06,1.976e+09
SOK20190125111426_015,ROI 3,Overlay,3.172e+09,4.733e+07,1.336e+08,-4.190e+06,9.374e+08
SOK20190125111426_015,ROI 4,Overlay,7.325e+09,1.102e+08,2.959e+08,-3.671e+06,2.031e+09
SOK20190125111426_015,ROI 5,Overlay,1.072e+10,1.602e+08,4.173e+08,-7.269e+05,2.628e+09
SOK20190125111426_016,ROI 1,Overlay,9.179e+09,1.367e+08,2.973e+08,-3.370e+06,1.843e+09
SOK20190125111426_016,ROI 2,Overlay,6.140e+09,9.220e+07,2.726e+08,-2.789e+06,2.053e+09
SOK20190125111426_016,ROI 3,Overlay,3.296e+09,4.918e+07,1.390e+08,-4.876e+06,9.549e+08
SOK20190125111426_016,ROI 4,Overlay,7.347e+09,1.105e+08,2.978e+08,-3.582e+06,1.975e+09
SOK20190125111426_016,ROI 5,Overlay,1.197e+10,1.789e+08,4.573e+08,-8.562e+05,2.849e+09
SOK20190125111426_017,ROI 1,Overlay,9.280e+09,1.382e+08,2.992e+08,-2.172e+06,1.858e+09
SOK20190125111426_017,ROI 2,Overlay,6.382e+09,9.583e+07,2.827e+08,-4.763e+06,2.152e+09
SOK20190125111426_017,ROI 3,Overlay,3.422e+09,5.105e+07,1.436e+08,-3.987e+06,9.831e+08
SOK20190125111426_017,ROI 4,Overlay,7.183e+09,1.080e+08,2.894e+08,-3.392e+06,2.002e+09
SOK20190125111426_017,ROI 5,Overlay,1.207e+10,1.804e+08,4.646e+08,-1.586e+06,2.885e+09
SOK20190125111426_018,ROI 1,Overlay,8.642e+09,1.287e+08,2.807e+08,-2.425e+06,1.787e+09
SOK20190125111426_018,ROI 2,Overlay,6.656e+09,9.995e+07,2.979e+08,-3.151e+06,2.279e+09
SOK20190125111426_018,ROI 3,Overlay,3.542e+09,5.285e+07,1.487e+08,-3.192e+06,1.037e+09
SOK20190125111426_018,ROI 4,Overlay,7.102e+09,1.068e+08,2.865e+08,-3.397e+06,1.922e+09
SOK20190125111426_018,ROI 5,Overlay,1.064e+10,1.589e+08,4.117e+08,-2.194e+06,2.604e+09
SOK20190125111426_019,ROI 1,Overlay,8.734e+09,1.301e+08,2.819e+08,-2.174e+06,1.773e+09
SOK20190125111426_019,ROI 2,Overlay,6.791e+09,1.020e+08,3.042e+08,-5.690e+06,2.300e+09
SOK20190125111426_019,ROI 3,Overlay,3.686e+09,5.499e+07,1.550e+08,-5.872e+06,1.064e+09
SOK20190125111426_019,ROI 4,Overlay,7.044e+09,1.059e+08,2.843e+08,-3.127e+06,1.869e+09
SOK20190125111426_019,ROI 5,Overlay,1.109e+10,1.658e+08,4.286e+08,-2.381e+06,2.653e+09
SOK20190125111426_020,ROI 1,Overlay,1.048e+10,1.562e+08,3.388e+08,-1.842e+06,1.946e+09
SOK20190125111426_020,ROI 2,Overlay,6.937e+09,1.042e+08,3.092e+08,-3.181e+06,2.323e+09
SOK20190125111426_020,ROI 3,Overlay,3.733e+09,5.570e+07,1.579e+08,-3.758e+06,1.088e+09
SOK20190125111426_020,ROI 4,Overlay,6.911e+09,1.039e+08,2.794e+08,-2.343e+06,1.853e+09
SOK20190125111426_020,ROI 5,Overlay,1.124e+10,1.680e+08,4.326e+08,-1.402e+06,2.772e+09
